DIA,MES,ANO,HORA,MINUTO,SEGUNDO,TEMPERATURA,PRESSAO,UMIDADE,IRRADIANCIA,VELOCIDADE,DIRECAO,CHUVA,PVTEMP(K),TENSAO,CORRENTE,PVTEMP(c)
10,2,2020,13,11,3,33.29,1005.42,65.04,944.43417,13.3,180,5,285.83,456.6,2.77256,12.68
10,2,2020,13,11,4,33.29,1005.42,65.05,946.28328,6.65,180,5,285.1,456.375,2.77088,11.95
10,2,2020,13,11,5,33.29,1005.44,65.07,947.20784,13.3,180,5,286.37,456.1875,2.76188,13.22
10,2,2020,13,11,6,33.29,1005.42,65.11,946.28328,6.65,180,5,285.36,456.375,2.76694,12.21
10,2,2020,13,11,7,33.29,1005.43,65.15,943.97189,13.3,180,5,284.14,456.375,2.77594,10.99
10,2,2020,13,11,8,33.29,1005.42,65.16,943.50962,6.65,180,5,284.7,456.3,2.77256,11.55
10,2,2020,13,11,9,33.28,1005.45,65.21,944.89645,13.3,180,5,284.37,456.7875,2.77481,11.22
10,2,2020,13,11,10,33.27,1005.4,65.15,940.27367,13.3,180,5,285.45,456.3375,2.77088,12.3
10,2,2020,13,11,11,33.28,1005.43,65.22,934.26405,13.3,135,5,284.37,456.5625,2.76131,11.22
10,2,2020,13,11,12,33.28,1005.4,65.22,928.25444,6.65,180,5,284.47,456.3,2.75681,11.3200000000001
10,2,2020,13,11,13,33.27,1005.43,65.31,922.24482,13.3,180,5,285.26,456.1875,2.75456,12.11
10,2,2020,13,11,14,33.27,1005.46,65.25,930.10355,6.65,180,5,284.89,456.375,2.772,11.74
10,2,2020,13,11,15,33.27,1005.46,65.31,926.8676,13.3,180,5,284.23,456.2625,2.76356,11.08
